0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
93;95;100;55;56;51;57;69;52;81;1820;2008;3483;4912;3934.4;106;111;116;4923;4143;5034;6154;6160;8793
83;165.2;284.5;505.4;830.9;932.8;1229.7;1530.7;1787.9;2327.1;1485;2239;3727;4599;4958.9;5433.9;5853.5;6020.5;6538.2;5035;5515;6234;6382;7227
54;165.2;284.5;505.4;830.9;932.8;1229.7;1530.7;1787.9;2327.1;1098;2543;3865;4080;3877.4;4238.1;4034.4;4728.6;4970.5;5220;5299;6681;6908;6835
51;165.2;284.5;505.4;830.9;932.8;1229.7;1530.7;1787.9;2327.1;1956;2176;3111;4946;4958.9;5433.9;5853.5;6020.5;6538.2;4268;5590;5800;6566;8504
117;165.2;284.5;505.4;830.9;932.8;1229.7;1530.7;1787.9;2327.1;1202;2530;3773;3669;4966.8;3767.7;5213.8;5411.4;6538.2;4788;5481;6009;6779;9521
112;165.2;284.5;505.4;830.9;932.8;1229.7;1530.7;1787.9;2327.1;1468;2254;3617;4293;4958.9;5433.9;5853.5;6020.5;5151.4;4965;5535;5904;6283;8614
66;258.8;494.5;603.8;727.8;1015.9;1412.3;1735.6;2005.1;2179.4;1672;2833;3321;3630;3934.4;4337.6;4967.3;5176.5;5390.3;5861;5930.9;6277;6457;9741
113;233.5;318.3;649.4;975.7;1261.7;1551.1;1854.3;2146.8;2424.7;1585;2944;3815.5;3565;4908;5277.5;5854.8;6185.1;6500.5;4953;7005.8;5977;7713;9738
70;190.7;449;566.3;1032.8;1477.9;1824.2;2059.4;2348.9;2642.1;1990;3376.4;3671.7;4028;4562.9;4770.7;5094.2;5452.4;5748.6;4222;6413.2;6260;5935;8629
93;203.8;470.3;586.2;683;903.8;1402.7;1781.5;2103.1;2388.8;1440;3008;3384.9;4288;4268.3;4645.4;4968.7;5378.1;5799.2;5801.4;5991.7;6385;7082;7746
89;276.3;391.7;519.6;677.7;907;1288.3;1763.9;2177.3;2410.8;1410;3031.1;3471;4252;4302.5;4845.6;5160.3;5520.9;6215.3;6962.5;7597.3;6403;6467;9126
140;176.2;339.5;609.8;824.9;1095.5;1413.8;1816;2059;2269.8;2653.5;3081.2;3455.1;4075;4418.7;4989.8;5236.7;5589.8;5884.6;6413.2;6937;6068;7415;6297
97;129.5;314.6;440.9;730.6;1015.1;1354.6;1669.3;1934.2;2261.2;2610.4;2970.1;3296.8;4154;4119.4;4534.4;4884.5;5194.6;5380.4;6084.5;5566.6;5982;7496;7693
112;67.6;443.6;561.7;717.3;938.3;1270.5;1579.2;1915.3;2193;2398.4;2716.7;3150.4;3490.5;3877.4;4238.1;4556.9;4956;5151.4;5622.6;5875.8;6769;6569;7241
93;233.7;498.4;652.5;748.9;946.4;1071.3;1348.3;1680.9;1863;2094.2;2339.4;2696.4;3115.2;3471.3;3735.4;3985.2;4394;4804.8;5440;5664.3;6161;7278;8049
110;226.7;427.3;578.2;832.8;1216.4;1223.3;1318.9;1606.2;1884.4;2011.2;2294.9;2608.4;2972;3350.2;3861.5;4162.9;4421.3;4818.3;5142.5;5555.8;6717;7353;7869
67;387.6;389.3;534.4;898.7;1086.1;1208.1;1327.2;1599.4;1814.8;2047.9;2386.7;2708.1;2997.6;3355.5;3767.7;4034.4;4503.3;4970.5;5017.6;5480.9;5886;7770;6435
110;276.1;363.3;492.9;858.4;1186.9;1519.8;1764.5;2036.4;2377.1;2575.1;2807.7;3133.8;3369.6;3912.3;4069.7;4376.3;4728.6;4661.5;4883.7;5384.4;6356;7017;6995
119;250.3;388.3;599.2;998.4;1528.5;1805;2242.1;2386.3;2863.4;3118.5;3581;4007.1;4118.2;4966.8;5449;6226.4;6059.4;5997.6;7133.8;6453.6;6043;6891;7793
90;343;441.1;643.7;1022.9;1368.9;1853.7;2272.9;2591;2789.6;3096.5;3390.3;3655.3;3797.8;4060.2;4693.5;5213.8;5411.4;5362.5;5737.6;5704.4;6066;5838;9106
109;321.7;300.4;936.3;1185.9;1429.4;1786.3;2112.9;2503.1;2735;3001.9;3366.6;3740.1;4004.7;4323;4981.7;5464.6;5750.5;5978.4;5141.1;5854.5;5958;7739;7664
113;280.7;340.4;691.2;996.3;1239.9;1633.3;1977.4;2376.8;2660.2;2973.8;3225;3745.4;3938;4383.8;4875.6;5090.5;5515.3;5518.7;4888.9;7047.7;6179;7279;6983
84;292.7;502.4;788.7;885.3;1244.2;1466.6;1912.5;2347.6;2705.8;2968.4;3179.3;3566.1;3844.8;4084.4;4561.9;5318.3;5565.6;5435.3;5921.8;6195.1;6226;6655;6788
113;361.9;330.6;487.3;795.7;1195.6;1674.2;2033.5;2314;2761.6;3108.8;3309.7;3771.2;4000.4;4142.4;4429.5;4527.5;4753.5;4929.9;4894.6;5283.6;6042;6285;9389
76;205.4;393.7;500.4;800.5;1187.9;1541.7;2023.9;2434.3;2726;3084.7;3332.8;3948.9;4052.8;4420;5078.6;5900.2;5972;5812.9;6049;7449.6;6252;6567;8868
55;137.8;375.3;482.3;657.2;1135;1668.7;2166;2542.5;2853.6;3285;3593.5;3974.8;4345.7;4799;5299.7;5701;5907.8;5921.5;7044.7;7827.9;6363;6568;8629
85;290.2;506.5;653.7;1004.2;1278.7;1689.8;2273.2;2675.3;3075.1;3285.1;3704.2;4116.2;4367.6;4873.5;5147.1;5644;5717.2;5790.1;6124.7;6786.6;5878;7177;7017
94;406.5;379.5;565.8;903;1480.1;1836.4;2315.1;2757.4;3052.2;3392;3747.5;4073.6;4462.1;4807.9;5097.4;5384;5559.7;6021;6033.1;6773.9;5804;6765;8036
86;288.8;376.4;589.4;990.3;1444.1;1881.9;2252.3;2434.3;2625.8;3030.4;3439.3;3927.7;4433.7;4782.8;5383.9;5168.3;5328.8;5986.2;6368.9;6664.4;6769;6748;8790
